#########################################################
####AHURATUS MEM ALLOCATOR#########WEEK08################
####EHSAN SHAGHAEI#################OS-FALL2020###########
#########################################################
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5553228  18004 455408    0    0     0     0   26  191  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0    8  115  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   27  188  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0    8  109  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5553228  18004 455408    0    0     0     0   24  188  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   17  143  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   19  183  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   18  171  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   21  184  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   10  133  0  0 100  0  0
 0  0      0 5553224  18004 455408    0    0     0     0   31  225  0  1 99  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    7  130  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   28  214  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    7  111  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   23  181  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   17  161  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   19  180  0  0 100  0  0
 0  0      0 5553060  18004 455408    0    0     0     0   17  159  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   20  193  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    9  138  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   16  146  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   21  196  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   17  161  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   20  191  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    9  134  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5553164  18004 455408    0    0     0     0   30  229  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   12  130  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   28  226  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    8  136  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   22  206  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   16  170  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   19  197  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   17  168  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   19  193  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    9  136  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   28  231  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    7  131  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   29  232  0  0 99  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    8  127  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    8  141  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   28  224  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    8  139  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   28  225  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   11  150  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   22  204  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   15  173  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5553164  18004 455408    0    0     0     0   22  202  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   16  161  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   18  187  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    7  147  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   28  216  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    9  141  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   42  286  0  0 99  0  0
 0  0      0 5553164  18004 455408    0    0     0     0    8  137  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   19  204  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   16  165  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   20  191  0  0 100  0  0
 0  0      0 5553164  18004 455408    0    0     0     0   16  171  0  0 100  0  0
 0  0      0 5552912  18004 455408    0    0     0     0   67  366  0  0 100  0  0
 0  0      0 5554328  18004 455408    0    0     0     0  437 1884  0  3 97  0  0
 0  0      0 5554676  18004 455408    0    0     0     0   20  181  0  0 100  0  0
 0  0      0 5554676  18004 455408    0    0     0     0   61  366  0  0 100  0  0
 0  0      0 5554676  18004 455408    0    0     0     0   60  362  0  0 99  0  0
 0  0      0 5554676  18004 455408    0    0     0     0   17  180  0  0 100  0  0
 0  0      0 5554172  18012 455408    0    0     0    16  243  999  1  1 98  0  0
 0  0      0 5554172  18012 455408    0    0     0     0   28  205  0  0 100  0  0
 0  0      0 5553920  18012 455408    0    0     0     0   19  145  0  1 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5553920  18012 455408    0    0     0     0   38  225  0  0 100  0  0
 0  0      0 5553668  18012 455408    0    0     0     0   10  122  0  0 100  0  0
 0  0      0 5553668  18012 455408    0    0     0     0   24  203  0  0 99  0  0
 0  0      0 5553668  18020 455400    0    0     0    12   25  173  0  0 100  0  0
 0  0      0 5553512  18020 455400    0    0     0     0   27  193  0  0 100  0  0
 0  0      0 5553564  18020 455408    0    0     0     0   24  169  0  0 100  0  0
 0  0      0 5553564  18020 455408    0    0     0     0   28  194  0  0 100  0  0
 0  0      0 5554376  18020 455408    0    0     0     0   37  207  1  0 99  0  0
 0  0      0 5554572  18020 455408    0    0     0     0   31  228  0  0 100  0  0
 0  0      0 5554572  18020 455408    0    0     0     0   12  134  0  0 100  0  0
 0  0      0 5554572  18020 455408    0    0     0     0   24  167  0  0 100  0  0
 0  0      0 5554320  18020 455408    0    0     0     0   31  196  0  0 99  0  0
 0  0      0 5554320  18020 455408    0    0     0     0   13  143  0  0 100  0  0
 0  0      0 5554320  18020 455408    0    0     0     0   29  222  0  0 100  0  0
 0  0      0 5554320  18020 455408    0    0     0     0   13  157  0  0 100  0  0
 0  0      0 5553564  18028 455396    0    0     0    32  147  483  0  1 99  0  0
 0  0      0 5553564  18028 455408    0    0     0     0    9  138  0  0 100  0  0
 0  0      0 5553564  18028 455408    0    0     0     0   18  197  0  0 100  0  0
